"","submitter_name","comment_url","comment_txt1","comment_txt","comment_type","comment_id","comment_title","comment_text","organization","org_type","org_name","org_name_short","coalition_comment","coalition_type","docket_id","docket_title","docket_type","proposed_url","final_url"
"18","Christina Gregorian","https://www.regulations.gov/document?D=CFPB-2016-0025-199513","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-199513","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-199513-1.txt","org","CFPB-2016-0025-199513","Comment submitted by Christina Grigorian, Katten Muchin Rosenman LLP","See Attached","Katten Muchin Rosenman LLP","corp;law firm","Katten Muchin Rosenman LLP",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"19","Mark McCaig","https://www.regulations.gov/document?D=CFPB-2016-0025-200933","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-200933","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-200933-1.txt","org","CFPB-2016-0025-200933","Comments Submitted by Mark McCaig","See Attached File(s)","Dollar Advance, LLLP","corp","Dollar Advance, LLLP",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"20","Anonymous Anonymous","https://www.regulations.gov/document?D=CFPB-2016-0025-185159","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185159","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185159-1.txt","org","CFPB-2016-0025-185159","Comment Submitted by The Keil Group LLC","See attached","The Keil Group LLC","corp","The Keil Group LLC",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"21","Michael Aphibal","https://www.regulations.gov/document?D=CFPB-2016-0025-170672","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-170672","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-170672-1.txt","org","CFPB-2016-0025-170672","Comment Submitted by Michael Aphibal, McIntyre & Lemon, PLLC","Please see attached file.","McIntyre & Lemon, PLLC","corp;law firm","McIntyre & Lemon, PLLC",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"22","Terry Proffitt","https://www.regulations.gov/document?D=CFPB-2016-0025-190020","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-190020","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-190020-1.txt","org","CFPB-2016-0025-190020","Comment Submitted by Terry Proffitt, ABC Finance Company Inc","See attached","ABC Finance Company Inc","corp","ABC Finance Company Inc",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"23","Daniel Navin","https://www.regulations.gov/document?D=CFPB-2016-0025-199990","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-199990","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-199990-1.txt","org","CFPB-2016-0025-199990","Comments Submitted by Daniel Navin","See Attached File(s)","Ohio Chamber of Commerce","corp group","Ohio Chamber of Commerce",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"24","Paul Amrhein","https://www.regulations.gov/document?D=CFPB-2016-0025-170690","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-170690","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-170690-1.txt","org","CFPB-2016-0025-170690","Comment Submitted by Paul Amrhein, St Bridget Church","See attached","St Bridget Church","NGO;Faith","St Bridget Church",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"25","Anonymous Anonymous","https://www.regulations.gov/document?D=CFPB-2016-0025-185157","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185157","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185157-1.txt","org","CFPB-2016-0025-185157","Comment Submitted by The National Installment Lenders Association NILA","See attached","The National Installment Lenders Association NILA","NGO;Professional","The National Installment Lenders Association NILA","NILA","Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"26","Martha Vaughan","https://www.regulations.gov/document?D=CFPB-2016-0025-211875","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-211875","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-211875-1.txt","org","CFPB-2016-0025-211875","Comment Submitted by Martha Vaughan, NICAM ERCCNC","See attached","NICAM ERCCNC","ngo;professional","NICAM ERCCNC",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"27","Barbara Sinsley","https://www.regulations.gov/document?D=CFPB-2016-0025-145303","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-145303","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-145303-1.txt","org","CFPB-2016-0025-145303","Comment Submitted by Barbara Sinsley, FactorTrust, Inc.","See attached file(s)","FactorTrust, Inc.","corp","FactorTrust, Inc.",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"28","Doches Credit Union Doches Credit Union","https://www.regulations.gov/document?D=CFPB-2016-0025-146510","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-146510","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-146510-1.txt","org","CFPB-2016-0025-146510","Multiple Comments Submitted by Doches Credit Union (19 Submissions)","See attached","Doches Credit Union","corp; bank","Doches Credit Union",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"29","CUNA Mutual Group CUNA Mutual Group","https://www.regulations.gov/document?D=CFPB-2016-0025-146540","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-146540","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-146540-1.txt","org","CFPB-2016-0025-146540","Comment Submitted by CUNA Mutual Group","See attached","CUNA Mutual Group","corp group: bank","CUNA Mutual Group",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"30","William Barnett III","https://www.regulations.gov/document?D=CFPB-2016-0025-145321","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-145321","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-145321-1.txt","org","CFPB-2016-0025-145321","Comment Submitted by William Barnett III, Peoples Bank","See attached.","Peoples Bank","corp: bank","Peoples Bank",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"31","CUNA Mutual Group CUNA Mutual Group","https://www.regulations.gov/document?D=CFPB-2016-0025-146539","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-146539","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-146539-1.txt","org","CFPB-2016-0025-146539","Comment Submitted by The CUNA Mutual Group","See Attached","CUNA Mutual Group","corp; bank","CUNA Mutual Group",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"32","Kim Ford","https://www.regulations.gov/document?D=CFPB-2016-0025-147178","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-147178","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-147178-1.txt","org","CFPB-2016-0025-147178","Comment Submitted by Kim Ford, First Data","See attached file(s)","First Data","corp","First Data",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"33","Chad Borton","https://www.regulations.gov/document?D=CFPB-2016-0025-147147","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-147147","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-147147-1.txt","org","CFPB-2016-0025-147147","Comment Submitted by Chad Borton, Fifth Third Bank","See attached","Fifth Third Bank","corp; bank","Fifth Third Bank",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"34","Rueben Franco","https://www.regulations.gov/document?D=CFPB-2016-0025-148823","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-148823","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-148823-1.txt","org","CFPB-2016-0025-148823","Comment Submitted by Rueben Franco, Orange County Hispanic Chamber of Commerce","See attached","Orange County Hispanic Chamber of Commerce","corp group","Orange County Hispanic Chamber of Commerce",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
